Season,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year,Lg,Rd,Pk,Player,College,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,ROY
2009,Chicago Bulls*,41,41,0.5,3,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3,Lost E. Conf. 1st Rnd.,V. Del Negro (41-41),J. Noah (6.2),2009,NBA,1,26,Taj Gibson,USC,24.0,PF,82.0,70.0,26.9,3.8,7.7,0.494,0.0,0.0,0.0,3.8,7.7,0.494,0.494,1.4,2.1,0.646,2.8,4.7,7.5,0.9,0.6,1.3,1.4,3.4,9.0,ROY-5,5
2008,Chicago Bulls*,41,41,0.5,2,-0.16,93.1,1.4,108.4,0.1,108.7,0.4,Lost E. Conf. 1st Rnd.,V. Del Negro (41-41),B. Gordon (6.9),2008,NBA,1,1,Derrick Rose,Memphis,20.0,PG,81.0,80.0,37.0,7.1,14.9,0.475,0.2,0.9,0.222,6.9,14.0,0.491,0.482,2.4,3.1,0.788,1.2,2.7,3.9,6.3,0.8,0.2,2.5,1.5,16.8,ROY-1,1
2007,Chicago Bulls,33,49,0.402,4,-3.19,93.0,0.6,103.9,-3.6,107.2,-0.3,Missed Playoffs,S. Skiles (9-16) P. Myers (0-1) J. Boylan (24-32),B. Gordon (5.1),2007,NBA,1,9,Joakim Noah,Florida,22.0,C,74.0,31.0,20.7,2.4,5.0,0.482,0.0,0.0,0.0,2.4,4.9,0.484,0.482,1.8,2.6,0.691,2.4,3.3,5.6,1.1,0.9,0.9,1.2,2.3,6.6,None,0
2007,Chicago Bulls,33,49,0.402,4,-3.19,93.0,0.6,103.9,-3.6,107.2,-0.3,Missed Playoffs,S. Skiles (9-16) P. Myers (0-1) J. Boylan (24-32),B. Gordon (5.1),2007,NBA,2,49,Aaron Gray,Pitt,23.0,C,61.0,1.0,10.0,1.7,3.3,0.505,0.0,0.0,0.0,1.7,3.3,0.507,0.505,0.9,1.6,0.566,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,4.3,None,0
2007,Chicago Bulls,33,49,0.402,4,-3.19,93.0,0.6,103.9,-3.6,107.2,-0.3,Missed Playoffs,S. Skiles (9-16) P. Myers (0-1) J. Boylan (24-32),B. Gordon (5.1),2007,NBA,2,51,JamesOn Curry,Oklahoma State,22.0,PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0
2004,Chicago Bulls*,47,35,0.573,2,0.65,92.4,1.5,101.4,-4.7,100.3,-5.8,Lost E. Conf. 1st Rnd.,S. Skiles (47-35),T. Chandler (8.3),2004,NBA,1,3,Ben Gordon,UConn,21.0,SG,82.0,3.0,24.4,5.3,12.9,0.411,1.6,4.0,0.405,3.7,8.8,0.414,0.474,2.8,3.3,0.863,0.7,2.0,2.6,2.0,0.6,0.1,2.3,2.7,15.1,"ROY-2,6MOY-1",2
2004,Chicago Bulls*,47,35,0.573,2,0.65,92.4,1.5,101.4,-4.7,100.3,-5.8,Lost E. Conf. 1st Rnd.,S. Skiles (47-35),T. Chandler (8.3),2004,NBA,2,38,Chris Duhon,Duke,22.0,PG,82.0,73.0,26.5,2.1,6.0,0.352,1.1,3.2,0.355,1.0,2.7,0.35,0.449,0.6,0.8,0.731,0.3,2.3,2.6,4.9,1.0,0.0,1.5,2.5,5.9,None,0
2003,Chicago Bulls,23,59,0.28,8,-6.69,92.2,2.1,96.6,-6.3,103.4,0.5,Missed Playoffs,B. Cartwright (4-10) P. Myers (0-2) S. Skiles (19-47),K. Hinrich (4.1),2003,NBA,1,7,Kirk Hinrich,Kansas,23.0,PG,76.0,66.0,35.6,4.2,10.8,0.386,1.9,4.9,0.39,2.3,6.0,0.383,0.474,1.8,2.2,0.804,0.6,2.9,3.4,6.8,1.3,0.3,2.7,3.6,12.0,ROY-4,4
2003,Chicago Bulls,23,59,0.28,8,-6.69,92.2,2.1,96.6,-6.3,103.4,0.5,Missed Playoffs,B. Cartwright (4-10) P. Myers (0-2) S. Skiles (19-47),K. Hinrich (4.1),2003,NBA,2,36,Mario Austin,Mississippi State,21.0,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0
2003,Chicago Bulls,23,59,0.28,8,-6.69,92.2,2.1,96.6,-6.3,103.4,0.5,Missed Playoffs,B. Cartwright (4-10) P. Myers (0-2) S. Skiles (19-47),K. Hinrich (4.1),2003,NBA,2,53,Tommy Smith,Arizona State,23.0,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0
2002,Chicago Bulls,30,52,0.366,6,-5.31,93.5,2.5,100.2,-3.4,105.6,2.0,Missed Playoffs,B. Cartwright (30-52),D. Marshall (6.0),2002,NBA,1,2,Jay Williams,Duke,22.0,PF,52.0,1.0,9.8,1.4,3.1,0.447,0.0,0.0,0.5,1.4,3.1,0.447,0.45,0.7,1.1,0.661,0.8,1.3,2.1,0.3,0.2,0.1,0.8,1.8,3.5,None,0
2002,Chicago Bulls,30,52,0.366,6,-5.31,93.5,2.5,100.2,-3.4,105.6,2.0,Missed Playoffs,B. Cartwright (30-52),D. Marshall (6.0),2002,NBA,2,31,Roger Mason,Virginia,22.0,SF,17.0,0.0,6.6,0.6,1.8,0.355,0.4,1.1,0.333,0.3,0.8,0.385,0.452,0.1,0.1,1.0,0.1,0.6,0.7,0.7,0.2,0.0,0.3,1.2,1.8,None,0
2002,Chicago Bulls,30,52,0.366,6,-5.31,93.5,2.5,100.2,-3.4,105.6,2.0,Missed Playoffs,B. Cartwright (30-52),D. Marshall (6.0),2002,NBA,2,44,Lonny Baxter,Maryland,24.0,C,55.0,0.0,12.4,1.7,3.7,0.466,0.0,0.0,0.0,1.7,3.7,0.471,0.466,1.3,1.9,0.68,1.2,1.8,3.0,0.3,0.2,0.4,0.8,2.5,4.8,None,0
2001,Chicago Bulls,21,61,0.256,8,-8.52,90.5,-0.2,98.2,-6.3,107.6,3.1,Missed Playoffs,T. Floyd (4-21) B. Berry (0-2) B. Cartwright (17-38),B. Miller (4.4),2001,NBA,1,4,Eddy Curry,,19.0,C,72.0,31.0,16.0,2.6,5.2,0.501,0.0,0.0,0.0,2.6,5.2,0.501,0.501,1.5,2.2,0.656,1.5,2.2,3.8,0.3,0.2,0.7,1.0,2.4,6.7,None,0
2001,Chicago Bulls,21,61,0.256,8,-8.52,90.5,-0.2,98.2,-6.3,107.6,3.1,Missed Playoffs,T. Floyd (4-21) B. Berry (0-2) B. Cartwright (17-38),B. Miller (4.4),2001,NBA,2,30,Trenton Hassell,Austin Peay State University,22.0,SG,78.0,47.0,28.7,3.4,8.1,0.425,0.8,2.1,0.364,2.7,5.9,0.447,0.473,1.1,1.5,0.763,0.8,2.4,3.3,2.2,0.7,0.6,1.3,2.4,8.7,None,0
2000,Chicago Bulls,15,67,0.183,8,-9.09,89.3,-2.0,97.2,-5.8,107.3,4.3,Missed Playoffs,T. Floyd (15-67),E. Brand (6.1),2000,NBA,1,4,Marcus Fizer,Iowa State,22.0,PF,72.0,13.0,21.9,3.9,9.0,0.43,0.1,0.5,0.256,3.7,8.4,0.442,0.438,1.6,2.2,0.727,1.1,3.3,4.3,1.1,0.4,0.3,1.7,2.4,9.5,None,0
2000,Chicago Bulls,15,67,0.183,8,-9.09,89.3,-2.0,97.2,-5.8,107.3,4.3,Missed Playoffs,T. Floyd (15-67),E. Brand (6.1),2000,NBA,1,24,Dalibor Bagarić,,20.0,C,35.0,0.0,7.4,0.5,1.9,0.262,0.0,0.0,0.0,0.5,1.8,0.266,0.262,0.4,0.8,0.464,0.6,1.0,1.6,0.3,0.3,0.5,0.6,1.3,1.3,None,0
2000,Chicago Bulls,15,67,0.183,8,-9.09,89.3,-2.0,97.2,-5.8,107.3,4.3,Missed Playoffs,T. Floyd (15-67),E. Brand (6.1),2000,NBA,2,32,A.J. Guyton,Indiana,22.0,PG,33.0,8.0,19.1,2.4,5.8,0.406,0.8,2.1,0.391,1.5,3.7,0.415,0.477,0.5,0.5,0.833,0.3,0.8,1.1,1.9,0.3,0.2,0.7,1.1,6.0,None,0
2000,Chicago Bulls,15,67,0.183,8,-9.09,89.3,-2.0,97.2,-5.8,107.3,4.3,Missed Playoffs,T. Floyd (15-67),E. Brand (6.1),2000,NBA,2,33,Jake Voskuhl,UConn,23.0,C,16.0,2.0,8.9,0.7,1.6,0.44,0.0,0.0,0.0,0.7,1.6,0.44,0.44,0.5,0.9,0.571,0.8,1.4,2.1,0.3,0.3,0.4,0.8,2.4,1.9,None,0
2000,Chicago Bulls,15,67,0.183,8,-9.09,89.3,-2.0,97.2,-5.8,107.3,4.3,Missed Playoffs,T. Floyd (15-67),E. Brand (6.1),2000,NBA,2,34,Khalid El-Amin,UConn,21.0,PG,50.0,14.0,18.7,2.3,6.2,0.37,0.6,1.7,0.333,1.7,4.5,0.383,0.415,1.1,1.4,0.778,0.4,1.2,1.6,2.9,1.0,0.0,1.1,2.0,6.3,None,0
