Season,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS
2013,Chicago Bulls*,48,34,0.585,2,1.2,90.2,-3.7,102.5,-4.2,100.5,-6.2,Lost E. Conf. 1st Rnd.,T. Thibodeau (48-34),J. Noah (11.2)
2012,Chicago Bulls*,45,37,0.549,2,-0.02,89.3,-2.7,103.5,-2.4,103.2,-2.7,Lost E. Conf. Semis,T. Thibodeau (45-37),J. Noah (7.3)
2011,Chicago Bulls*,50,16,0.758,1,7.43,89.1,-2.2,107.4,2.8,98.3,-6.3,Lost E. Conf. 1st Rnd.,T. Thibodeau (50-16),J. Noah (9.0)
2010,Chicago Bulls*,62,20,0.756,1,6.53,90.4,-1.7,108.3,1.0,100.3,-7.0,Lost E. Conf. Finals,T. Thibodeau (62-20),D. Rose (13.1)
2009,Chicago Bulls*,41,41,0.5,3,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3,Lost E. Conf. 1st Rnd.,V. Del Negro (41-41),J. Noah (6.2)
2008,Chicago Bulls*,41,41,0.5,2,-0.16,93.1,1.4,108.4,0.1,108.7,0.4,Lost E. Conf. 1st Rnd.,V. Del Negro (41-41),B. Gordon (6.9)
2007,Chicago Bulls,33,49,0.402,4,-3.19,93.0,0.6,103.9,-3.6,107.2,-0.3,,S. Skiles (9-16) P. Myers (0-1) J. Boylan (24-32),B. Gordon (5.1)
2006,Chicago Bulls*,49,33,0.598,3,4.52,93.6,1.7,104.9,-1.6,99.6,-6.9,Lost E. Conf. Semis,S. Skiles (49-33),L. Deng (11.3)
2005,Chicago Bulls*,41,41,0.5,4,0.51,92.9,2.4,104.0,-2.2,103.4,-2.8,Lost E. Conf. 1st Rnd.,S. Skiles (41-41),K. Hinrich (7.6)
2004,Chicago Bulls*,47,35,0.573,2,0.65,92.4,1.5,101.4,-4.7,100.3,-5.8,Lost E. Conf. 1st Rnd.,S. Skiles (47-35),T. Chandler (8.3)
2003,Chicago Bulls,23,59,0.28,8,-6.69,92.2,2.1,96.6,-6.3,103.4,0.5,,B. Cartwright (4-10) P. Myers (0-2) S. Skiles (19-47),K. Hinrich (4.1)
2002,Chicago Bulls,30,52,0.366,6,-5.31,93.5,2.5,100.2,-3.4,105.6,2.0,,B. Cartwright (30-52),D. Marshall (6.0)
2001,Chicago Bulls,21,61,0.256,8,-8.52,90.5,-0.2,98.2,-6.3,107.6,3.1,,T. Floyd (4-21) B. Berry (0-2) B. Cartwright (17-38),B. Miller (4.4)
2000,Chicago Bulls,15,67,0.183,8,-9.09,89.3,-2.0,97.2,-5.8,107.3,4.3,,T. Floyd (15-67),E. Brand (6.1)
1999,Chicago Bulls,17,65,0.207,8,-9.23,89.4,-3.7,94.2,-9.9,104.6,0.5,,T. Floyd (17-65),E. Brand (7.5)
1998,Chicago Bulls,13,37,0.26,8,-8.58,88.1,-0.8,92.4,-9.8,103.0,0.8,,T. Floyd (13-37),D. Simpkins (2.9)
1997,Chicago Bulls*,62,20,0.756,1,7.24,89.0,-1.3,107.7,2.7,99.8,-5.2,Won Finals,P. Jackson (62-20),M. Jordan (15.8)
1996,Chicago Bulls*,69,13,0.841,1,10.7,90.0,-0.1,114.4,7.7,102.4,-4.3,Won Finals,P. Jackson (69-13),M. Jordan (18.3)
1995,Chicago Bulls*,72,10,0.878,1,11.8,91.1,-0.7,115.2,7.6,101.8,-5.8,Won Finals,P. Jackson (72-10),M. Jordan (20.4)
1994,Chicago Bulls*,47,35,0.573,3,4.32,92.0,-0.9,109.5,1.2,104.3,-4.0,Lost E. Conf. Semis,P. Jackson (47-35),S. Pippen (11.8)
1993,Chicago Bulls*,55,27,0.671,2,2.87,91.9,-3.2,106.1,-0.2,102.7,-3.6,Lost E. Conf. Semis,P. Jackson (55-27),S. Pippen (11.2)
1992,Chicago Bulls*,57,25,0.695,1,6.19,92.5,-4.3,112.9,4.9,106.1,-1.9,Won Finals,P. Jackson (57-25),M. Jordan (17.2)
1991,Chicago Bulls*,67,15,0.817,1,10.07,94.4,-2.2,115.5,7.3,104.5,-3.7,Won Finals,P. Jackson (67-15),M. Jordan (17.7)
1990,Chicago Bulls*,61,21,0.744,1,8.57,95.6,-2.2,114.6,6.7,105.2,-2.7,Won Finals,P. Jackson (61-21),M. Jordan (20.3)
