Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2003,NBA,1,7,Kirk Hinrich,Kansas,879,27015,9594,2576,4245,.411,.375,.800,30.7,10.9,2.9,4.8,52.5,.093,0.0,13.3
2003,NBA,2,36,Mario Austin,Mississippi State,,,,,,,,,,,,,,,,
2003,NBA,2,45,Matt Bonner (↳TOR),Florida,792,13356,4632,2371,552,.464,.414,.780,16.9,5.8,3.0,0.7,38.5,.138,1.0,10.1
2003,NBA,2,53,Tommy Smith,Arizona State,,,,,,,,,,,,,,,,
2002,NBA,1,2,Jay Williams,Duke,75,1961,714,195,350,.399,.322,.640,26.1,9.5,2.6,4.7,0.8,.020,-2.0,0.0
2002,NBA,2,31,Roger Mason,Virginia,518,9147,3289,897,677,.408,.383,.866,17.7,6.3,1.7,1.3,13.0,.068,-1.4,1.4
2002,NBA,2,44,Lonny Baxter,Maryland,162,1884,637,477,40,.466,.200,.657,11.6,3.9,2.9,0.2,2.9,.075,-4.6,-1.2
2001,NBA,1,4,Eddy Curry,,527,13109,6820,2725,287,.545,1.000,.642,24.9,12.9,5.2,0.5,21.7,.080,-2.4,-1.3
2001,NBA,2,30,Trenton Hassell,Austin Peay State University,644,16278,3741,1826,1132,.445,.318,.765,25.3,5.8,2.8,1.8,13.8,.041,-2.9,-3.7
2001,NBA,2,45,Sean Lampley (↳MIA),California,45,550,203,94,33,.463,.000,.691,12.2,4.5,2.1,0.7,1.1,.096,-1.7,0.0
2000,NBA,1,4,Marcus Fizer,Iowa State,289,6032,2782,1340,352,.435,.191,.691,20.9,9.6,4.6,1.2,2.7,.022,-3.7,-2.6
2000,NBA,1,7,Chris Mihm (↳CLE),Texas,436,8758,3262,2302,223,.459,.231,.704,20.1,7.5,5.3,0.5,13.3,.073,-3.9,-4.3
2000,NBA,1,24,Dalibor Bagarić,,95,973,251,238,37,.361,.000,.559,10.2,2.6,2.5,0.4,-0.9,-0.043,-7.9,-1.5
2000,NBA,2,32,A.J. Guyton,Indiana,80,1246,442,80,147,.377,.378,.822,15.6,5.5,1.0,1.8,0.3,.010,-2.9,-0.3
2000,NBA,2,33,Jake Voskuhl,UConn,450,6443,1814,1539,237,.487,.333,.714,14.3,4.0,3.4,0.5,11.6,.087,-3.8,-3.0
2000,NBA,2,34,Khalid El-Amin,UConn,50,936,314,81,145,.370,.333,.778,18.7,6.3,1.6,2.9,0.6,.030,-2.4,-0.1
